lemma,pos,ipa,meaning,example,audio,note_ids
afraid,,,Sợ hãi,,4000B1_afraid.mp3,1565658228521
agree,,,Đồng ý,,4000B1_agree.mp3,1565658228522
angry,,,Tức giận,,4000B1_angry.mp3,1565658228523
arrive,,,"Đến, tới nơi",,4000B1_arrive.mp3,1565658228524
attack,,,Tấn công,,4000B1_attack.mp3,1565658228525
bottom,,,phần dưới cùng; đáy,,4000B1_bottom.mp3,1565658228526
clever,,,Thông minh,,4000B1_clever.mp3,1565658228527
cruel,,,Độc ác,,4000B1_cruel.mp3,1565658228528
finally,,,Sau cùng,,4000B1_finally.mp3,1565658228529
hide,,,"Trốn, ẩn nấp",,4000B1_hide.mp3,1565658228530
hunt,,,Săn bắn,,4000B1_hunt.mp3,1565658228531
lot,,,"Mớ, lô, nhiều",,4000B1_lot.mp3,1565658228532
middle,,,"giữa, ở giữa",,4000B1_middle.mp3,1565658228533
moment,,,"Khoảnh khắc, chốc lát",,4000B1_moment.mp3,1565658228534
pleased,,,Hài lòng,,4000B1_pleased.mp3,1565658228535
promise,,,"Hứa hẹn, lời hứa",,4000B1_promise.mp3,1565658228536
reply,,,"đáp lại, t rả lời",,4000B1_reply.mp3,1565658228537
safe,,,An toàn,,4000B1_safe.mp3,1565658228538
trick,,,"Mẹo, thủ thuật",,4000B1_trick.mp3,1565658228539
well,,,"Tốt, được",,4000B1_well.mp3,1565658228540
adventure,,,"phiêu lưu, mạo hiểm",,4000B1_adventure.mp3,1565658228541
approach,,,"đến gần, tới gần",,4000B1_approach.mp3,1565658228542
carefully,,,cẩn thận,,4000B1_carefully.mp3,1565658228543
chemical,,,hoá chất,,4000B1_chemical.mp3,1565658228544
create,,,"tạo nên, tạo ra",,4000B1_create.mp3,1565658228545
evil,,,"xấu, ác",,4000B1_evil.mp3,1565658228546
experiment,,,thí nghiệm,,4000B1_experiment.mp3,1565658228547
kill,,,"giết, làm chết",,4000B1_kill.mp3,1565658228548
laboratory,,,phòng thí nghiệm,,4000B1_laboratory.mp3,1565658228549
laugh,,,tiếng cười (lớn),,4000B1_laugh.mp3,1565658228550
loud,,,"to, ầm ĩ",,4000B1_loud.mp3,1565658228551
nervous,,,căng thẳng,,4000B1_nervous.mp3,1565658228552
noise,,,tiếng ồn,,4000B1_noise.mp3,1565658228553
project,,,"dự án, công trình",,4000B1_project.mp3,1565658228554
scare,,,"Dọa, làm sợ hãi",,4000B1_scare.mp3,1565658228555
secret,,,bí mật,,4000B1_secret.mp3,1565658228556
shout,,,"quát tháo, la hét",,4000B1_shout.mp3,1565658228557
smell,,,"ngửi, đánh hơi",,4000B1_smell.mp3,1565658228558
terrible,,,"tồi tệ, ghê gớm, khủng khiếp",,4000B1_terrible.mp3,1565658228559
worse,,,"xấu hơn, tồi hơn",,4000B1_worse.mp3,1565658228560
alien,,,Người ngoài hành tinh,,4000B1_alien.mp3,1565658228561
among,,,"giữa, ở giữa",,4000B1_among.mp3,1565658228562
chart,,,"biểu đồ, đồ thị",,4000B1_chart.mp3,1565658228563
cloud,,,"mây, đám mây",,4000B1_cloud.mp3,1565658228564
comprehend,,,"hiểu, bao gồm",,4000B1_comprehend.mp3,1565658228565
describe,,,"miêu tả, mô tả",,4000B1_describe.mp3,1565658228566
ever,,,"Trước đến giờ, có bao giờ",,4000B1_ever.mp3,1565658228567
fail,,,thất bại,,4000B1_fail.mp3,1565658228568
friendly,,,thân thiện,,4000B1_friendly.mp3,1565658228569
grade,,,"mức độ, cấp độ",,4000B1_grade.mp3,1565658228570
instead,,,"Thay cho, thay vì",,4000B1_instead.mp3,1565658228571
library,,,thư viện,,4000B1_library.mp3,1565658228572
planet,,,hành tinh,,4000B1_planet.mp3,1565658228573
report,,,"bản báo cáo, biên bản",,4000B1_report.mp3,1565658228574
several,,,"vài, riêng",,4000B1_several.mp3,1565658228575
solve,,,giải quyết,,4000B1_solve.mp3,1565658228576
suddenly,,,"thình lình, đột ngột",,4000B1_suddenly.mp3,1565658228577
suppose,,,"cho rằng, nghĩ rằng",,4000B1_suppose.mp3,1565658228578
universe,,,"vũ trụ, thiên hà",,4000B1_universe.mp3,1565658228579
view,,,"thấy, nhìn",,4000B1_view.mp3,1565658228580
appropriate,,,"thích hợp, thích đáng",,4000B1_appropriate.mp3,1565658228581
avoid,,,"tránh, tránh xa",,4000B1_avoid.mp3,1565658228582
behave,,,"đối xử, cư xử",,4000B1_behave.mp3,1565658228583
calm,,,"bình tĩnh, êm đềm",,4000B1_calm.mp3,1565658228584
concern,,,"lo lắng, liên quan",,4000B1_concern.mp3,1565658228585
content,,,"nội dung (n), hài lòng (adj), mãn nguyện (adj)",,4000B1_content.mp3,1565658228586
expect,,,"trông mong, ngóng chờ",,4000B1_expect.mp3,1565658228587
frequently,,,thường xuyên,,4000B1_frequently.mp3,1565658228588
habit,,,"thói quen, tập quán",,4000B1_habit.mp3,1565658228589
instruct,,,"hướng dẫn, đào tạo",,4000B1_instruct.mp3,1565658228590
issue,,,"vấn đề, phát hành",,4000B1_issue.mp3,1565658228591
none,,,"không ai, không chút nào",,4000B1_none.mp3,1565658228592
patient,,,"kiên nhẫn, nhẫn nại, bệnh nhân",,4000B1_patient.mp3,1565658228593
positive,,,"tích cực, rõ ràng",,4000B1_positive.mp3,1565658228594
punish,,,"phạt, trừng phạt",,4000B1_punish.mp3,1565658228595
